Fase,Atividade,Descrição,Duração,Responsável,Data Início,Data Fim,Status,Progresso %,Observações,Comentários
Fase 3,Módulo RES (Residência),Módulo de Residência Médica - Candidaturas e colocação - Planos de rotação - Avaliações periódicas,2 dias,Desenvolvedores,Dia 23,Dia 24,⏳ Pendente,0%,Pendente,
Fase 3,Testes unitários - Semana 5,Testes unitários para módulos EXA e RES,1 dia,Analista QA,Dia 25,Dia 25,⏳ Pendente,0%,Pendente,
Semana 6 - Módulos Finais,,,,,,,,,,
Fase 3,Módulo PAY (Pagamentos),Módulo de Pagamentos - Configuração de taxas - Geração de comprovativos - Integração com carteiras móveis,2 dias,Desenvolvedores,Dia 26,Dia 27,⏳ Pendente,0%,Pendente,
Fase 3,Módulo CAR (Cartões),Módulo de Cartões e Crachás - Emissão digital e física - Personalização por categoria - Histórico de reemissões,1 dia,Desenvolvedores,Dia 28,Dia 28,⏳ Pendente,0%,Pendente,
Fase 3,Módulo NTF (Notificações),Módulo de Notificações - Envio automático por email/SMS - Templates editáveis - Histórico de comunicações,1 dia,Desenvolvedores,Dia 29,Dia 29,⏳ Pendente,0%,Pendente,
Fase 3,Módulo ARC (Arquivamento),Módulo de Arquivamento e Cancelamento - Arquivamento automático - Cancelamento por irregularidades - Histórico e rastreabilidade,1 dia,Desenvolvedores,Dia 30,Dia 30,⏳ Pendente,0%,Pendente,
Fase 3,Integrações externas,Integrações com carteiras móveis (M-Pesa e-Mola mKesh) - APIs bancárias - Gateways SMS/Email,1 dia,Especialista,Dia 30,Dia 30,⏳ Pendente,0%,Pendente,
Fase 3,Testes de integração,Testes de integração entre módulos e sistemas externos,1 dia,Analista QA,Dia 30,Dia 30,⏳ Pendente,0%,Pendente,
FASE 4 - CADASTRO E TESTES,,,,,,,,,,
Semana 7 - Migração,,,,,,,,,,
Fase 4,Preparação da migração,Análise de dados existentes - Limpeza e padronização - Criação de scripts de migração,1 dia,Analista + TI,Dia 31,Dia 31,⏳ Pendente,0%,Pendente,
Fase 4,Limpeza de dados,Preparação e padronização dos dados para migração,1 dia,Analista,Dia 32,Dia 32,⏳ Pendente,0%,Pendente,
Fase 4,Execução da migração,Importação de dados de membros - Validação de integridade - Correção de inconsistências,2 dias,Especialista,Dia 33,Dia 34,⏳ Pendente,0%,Pendente,
Fase 4,Validação inicial,Conferência de dados migrados - Testes de funcionalidade básica - Relatório de migração,1 dia,Equipe + OrMM,Dia 35,Dia 35,⏳ Pendente,0%,Pendente,
Semana 8 - Testes,,,,,,,,,,
Fase 4,Testes de usabilidade,Testes com usuários reais da OrMM - Taxa de sucesso ≥ 95% - Coleta de feedback,1 dia,Usuários + QA,Dia 36,Dia 36,⏳ Pendente,0%,Pendente,
Fase 4,Testes de performance,Simulação de 10000 usuários - Testes de carga e stress - Medição de tempos de resposta,1 dia,Especialista,Dia 37,Dia 37,⏳ Pendente,0%,Pendente,
Fase 4,Testes de segurança,Auditoria de vulnerabilidades - Testes de penetração - Verificação de conformidade ISO/IEC 27001,1 dia,Especialista,Dia 38,Dia 38,⏳ Pendente,0%,Pendente,
Fase 4,Correção de problemas,Correção de problemas identificados nos testes,1 dia,Desenvolvedores,Dia 39,Dia 39,⏳ Pendente,0%,Pendente,
Fase 4,Relatório final,Relatório final de testes funcionais,1 dia,Analista,Dia 40,Dia 40,⏳ Pendente,0%,Pendente,
FASE 5 - HOMOLOGAÇÃO E ENCERRAMENTO,,,,,,,,,,
Semana 9 - Homologação,,,,,,,,,,
Fase 5,Preparação para homologação,Checklist de conformidade com TdR - Verificação de 100% das funcionalidades,1 dia,Equipe,Dia 41,Dia 41,⏳ Pendente,0%,Pendente,
Fase 5,Homologação pelo auditor,Verificação de conformidade total com TdR - Testes de segurança (nota mínima 95%) - Verificação de performance (99% uptime),2 dias,Auditor,Dia 42,Dia 43,⏳ Pendente,0%,Pendente,
Fase 5,Correção de não conformidades,Correção de problemas identificados - Re-teste de funcionalidades corrigidas,1 dia,Desenvolvedores,Dia 44,Dia 44,⏳ Pendente,0%,Pendente,
Fase 5,Validação final,Validação final pelo auditor externo,1 dia,Auditor,Dia 45,Dia 45,⏳ Pendente,0%,Pendente,
Semana 10 - Entrega,,,,,,,,,,
Fase 5,Treinamento de usuários,Mínimo 20 usuários - 10 horas de treinamento (2 sessões de 5 horas) - Cobertura: operação administração resolução de problemas,2 dias,Equipe + OrMM,Dia 46,Dia 47,⏳ Pendente,0%,Pendente,
Fase 5,Entrega de documentação,Manuais detalhados em português (mínimo 50 páginas) - Tutoriais passo-a-passo - Diagramas de fluxo,1 dia,Analista,Dia 48,Dia 48,⏳ Pendente,0%,Pendente,
Fase 5,Aceitação final,Entrega final do sistema - Homologação formal pela OrMM - Laudo final do auditor externo,1 dia,OrMM + Auditor,Dia 49,Dia 49,⏳ Pendente,0%,Pendente,
Fase 5,Configuração de suporte,Helpdesk ativo - Contatos de suporte - SLA definido (24h para incidentes críticos),1 dia,Especialista,Dia 50,Dia 50,⏳ Pendente,0%,Pendente,
RESUMO GERAL,,,,,,,,,,
RESUMO,Progresso Geral,38% Concluído - 2 de 5 fases concluídas; 4/10 módulos core concluídos,,,,38%,,,
RESUMO,Fase Atual,Fase 3 - Desenvolvimento e Integração,,,,🔄 Em Execução,,,,
RESUMO,Próxima Atividade,Módulo EXA (Exames),,,,,⏳ Pendente,,,
RESUMO,Prazo,No prazo - 20 dias úteis restantes na Fase 3,,,,✅ No prazo,,,
RESUMO,Riscos,Baixo - Todas as atividades no cronograma,,,,✅ Baixo,,,

